,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,date_posted,days_listed
237,24869.0,2015,gmc sierra 1500,excellent,8,gas,82056.0,automatic,truck,black,2018-06-29,22
238,22399.0,2011,gmc sierra 2500hd,excellent,8,gas,121047.0,automatic,pickup,white,2018-05-17,66
239,17379.0,2007,jeep wrangler,excellent,6,gas,111921.0,automatic,SUV,black,2018-12-26,50
240,5999.0,2012,nissan altima,excellent,4,gas,99000.0,automatic,sedan,black,2018-12-27,28
241,4900.0,2007,toyota rav4,like new,6,gas,78822.49,automatic,SUV,blue,2019-03-17,13
242,3995.0,2013,chrysler 200,good,4,gas,130043.055,automatic,sedan,black,2018-09-26,4
243,10900.0,2012,toyota tacoma,excellent,4,gas,132000.0,manual,pickup,red,2018-10-10,46
244,3500.0,2004,toyota camry,fair,4,gas,155000.0,automatic,sedan,white,2018-11-16,33
245,41999.0,2018,ram 3500,good,6,diesel,5127.0,automatic,truck,black,2018-08-03,11
246,35999.0,2015,ram 2500,good,6,diesel,157558.0,automatic,truck,grey,2018-12-13,59
247,31999.0,2011,ram 3500,good,6,diesel,148128.0,automatic,truck,white,2018-11-21,64
248,28999.0,2012,ram 2500,good,6,diesel,146875.0,automatic,truck,silver,2018-07-22,51
249,32999.0,2012,ram 3500,good,6,diesel,126201.0,automatic,truck,silver,2018-10-26,58
250,7800.0,2010,nissan frontier,excellent,6,gas,160266.0,automatic,truck,red,2018-08-06,55
251,14999.0,2016,honda cr-v,excellent,4,gas,32000.0,automatic,SUV,grey,2018-08-10,66
252,19999.0,2015,gmc sierra,excellent,8,gas,43000.0,automatic,truck,white,2019-04-01,63
253,4999.0,2008,chrysler town & country,excellent,6,gas,129448.0,automatic,mini-van,white,2018-06-15,13
254,15600.0,2016,subaru outback,excellent,4,gas,106700.0,automatic,wagon,black,2018-05-08,40
255,4488.0,2003,toyota rav4,excellent,4,gas,106274.11,automatic,SUV,silver,2019-03-18,11
256,14995.0,2016,toyota rav4,excellent,4,gas,106274.11,automatic,SUV,black,2018-09-25,109
257,2500.0,2016,honda civic,excellent,4,gas,35000.0,automatic,sedan,white,2018-10-12,8
258,14999.0,2013,ford f-150,good,6,gas,52520.0,automatic,truck,white,2018-05-02,23
259,7999.0,2013,ford focus,good,4,gas,127230.0,automatic,sedan,red,2018-09-28,9
260,9877.0,2010,toyota corolla,good,4,gas,153510.0,automatic,sedan,white,2018-07-06,17
261,7999.0,2007,honda accord,good,4,gas,130043.055,automatic,sedan,grey,2018-12-31,43
262,8850.0,2017,nissan versa,good,4,gas,31501.0,automatic,sedan,white,2018-12-28,42
263,24900.0,2016,chevrolet silverado 1500,excellent,8,gas,32000.0,automatic,truck,silver,2019-01-29,5
264,3900.0,2016,ford explorer,excellent,6,gas,52000.0,automatic,SUV,blue,2018-08-18,10
265,32000.0,2016,gmc yukon,good,8,gas,130043.055,automatic,SUV,black,2019-03-19,37
266,2700.0,2016,honda civic,excellent,4,gas,27000.0,automatic,sedan,white,2018-06-20,73
267,13500.0,2012,gmc sierra 1500,excellent,8,gas,143000.0,automatic,truck,silver,2019-02-18,81
268,12750.0,2011,gmc sierra 2500hd,good,8,gas,226000.0,automatic,truck,white,2018-10-28,29
269,9500.0,2015,nissan altima,excellent,4,gas,84000.0,automatic,sedan,red,2019-02-07,34
270,6500.0,2012,dodge grand caravan,good,6,gas,119156.0,automatic,mini-van,white,2018-09-11,14
271,3000.0,2016,nissan rogue,excellent,4,gas,58000.0,automatic,SUV,blue,2019-03-04,14
